id,author-name,book-title,subgenre,year,year-cat,canon-cat,gender-cat,length,length-cat,counter,Author-birth,Author-death,GND,author_wikidata_id,work_wikidata_id
DEU087,"Heyking, Elisabeth von","Briefe, die ihn nicht erreichten",foo,1903,T4,low,f,56322,medium,1,1861,1925,http://d-nb.info/gnd/104359080,Q99578,Q111239433
DEU088,"Fontane, Theodor",Mathilde Möhring,foo,1906,T4,high,m,40323,short,1,1819,1898,http://d-nb.info/gnd/118534262,Q76632,Q1634107
DEU089,"Wille, Bruno",Die Abendburg,foo,1909,T4,low,m,178800,long,1,1860,1928,http://d-nb.info/gnd/11863318X,Q97648,Q111239476
DEU090,"Reventlow, Franziska Gräfin zu",Von Paul zu Pedro,foo,1912,T4,high,f,25015,short,1,1871,1918,http://d-nb.info/gnd/118600044,Q71429,Q111239626
DEU091,"Schnitzler, Arthur",Casanovas Heimfahrt,foo,1918,T4,high,m,43407,short,1,1862,1931,http://d-nb.info/gnd/118609807,Q44331,Q946444
DEU092,"Sudermann, Hermann",Jons und Erdme,foo,1917,T4,low,m,48607,short,1,1857,1928,http://d-nb.info/gnd/118619853,Q65448,Q107868849
DEU093,"Christ, Lena",Madam Bäurin,foo,1920,T4,high,f,42418,short,1,1881,1920,http://d-nb.info/gnd/118520555,Q77925,Q111239591
DEU094,"Schnitzler, Arthur",Der Weg ins Freie,foo,1907,T4,high,m,144932,long,1,1862,1931,http://d-nb.info/gnd/118609807,Q44331,Q700479
DEU095,"Ball, Hugo",Flammetti,foo,1918,T4,low,m,58233,medium,1,1886,1927,http://d-nb.info/gnd/118506234,Q70989,Q105624761
DEU096,"Meyrink, Gustav",Der Golem,foo,1913,T4,high,m,90790,medium,1,1868,1932,http://d-nb.info/gnd/118582046,Q78511,Q673861
DEU097,"Keyserling, Eduard von",Wellen,foo,1911,T4,high,m,54745,medium,1,1855,1918,http://d-nb.info/gnd/118561812,Q77494,Q2557617
DEU098,"Reventlow, Franziska Gräfin zu",Herrn Dames Aufzeichnungen,foo,1913,T4,high,f,41778,short,1,1871,1918,http://d-nb.info/gnd/118600044,Q71429,Q111239547
DEU099,"Christ, Lena",Mathias Bichler,foo,1914,T4,high,f,81921,medium,1,1881,1920,http://d-nb.info/gnd/118520555,Q77925,Q111239592
DEU100,"Ebner-Eschenbach, Marie von",Agave,foo,1903,T4,high,f,51704,medium,1,1830,1916,http://d-nb.info/gnd/118528661,Q93525,Q111239419
